Date Time, Water Level, Sigma, I, L 
2017-01-01 00:00,1.322,0.059,0,0
2017-01-01 01:00,1.739,0.075,0,0
2017-01-01 02:00,2.096,0.085,0,0
2017-01-01 03:00,2.477,0.079,0,0
2017-01-01 04:00,2.392,0.082,0,0
2017-01-01 05:00,2.005,0.105,0,0
2017-01-01 06:00,1.503,0.121,0,0
2017-01-01 07:00,1.178,0.092,0,0
2017-01-01 08:00,0.620,0.102,0,0
2017-01-01 09:00,0.102,0.144,0,0
2017-01-01 10:00,0.177,0.112,0,0
2017-01-01 11:00,0.568,0.082,0,0
2017-01-01 12:00,0.906,0.069,0,0
2017-01-01 13:00,1.385,0.066,0,0
2017-01-01 14:00,1.785,0.052,0,0
2017-01-01 15:00,2.110,0.128,0,0
2017-01-01 16:00,2.162,0.151,0,0
2017-01-01 17:00,1.850,0.138,0,0
2017-01-01 18:00,1.391,0.128,0,0
2017-01-01 19:00,0.984,0.098,0,0
2017-01-01 20:00,0.535,0.052,0,0
2017-01-01 21:00,0.082,0.062,0,0
2017-01-01 22:00,-0.213,0.039,0,0
2017-01-01 23:00,-0.157,0.039,0,0
2017-01-02 00:00,0.272,0.039,0,0
2017-01-02 01:00,0.771,0.030,0,0
2017-01-02 02:00,1.230,0.026,0,0
2017-01-02 03:00,1.765,0.020,0,0
2017-01-02 04:00,2.096,0.026,0,0
2017-01-02 05:00,2.090,0.026,0,0
2017-01-02 06:00,1.742,0.023,0,0
2017-01-02 07:00,1.512,0.026,0,0
2017-01-02 08:00,1.181,0.020,0,0
2017-01-02 09:00,0.797,0.016,0,0
2017-01-02 10:00,0.591,0.016,0,0
2017-01-02 11:00,0.525,0.030,0,0
2017-01-02 12:00,0.892,0.016,0,0
2017-01-02 13:00,1.325,0.013,0,0
2017-01-02 14:00,1.693,0.030,0,0
2017-01-02 15:00,2.024,0.023,0,0
2017-01-02 16:00,2.349,0.030,0,0
2017-01-02 17:00,2.277,0.030,0,0
2017-01-02 18:00,1.923,0.033,0,0
2017-01-02 19:00,1.342,0.033,0,0
2017-01-02 20:00,0.968,0.020,0,0
2017-01-02 21:00,0.561,0.033,0,0
2017-01-02 22:00,0.167,0.030,0,0
2017-01-02 23:00,-0.013,0.059,0,0
2017-01-03 00:00,0.161,0.052,0,0
2017-01-03 01:00,0.679,0.033,0,0
2017-01-03 02:00,1.227,0.036,0,0
2017-01-03 03:00,1.778,0.056,0,0
2017-01-03 04:00,2.244,0.056,0,0
2017-01-03 05:00,2.500,0.066,0,0
2017-01-03 06:00,2.454,0.079,0,0
2017-01-03 07:00,2.152,0.085,0,0
2017-01-03 08:00,1.909,0.062,0,0
2017-01-03 09:00,1.726,0.072,0,0
2017-01-03 10:00,1.516,0.062,0,0
2017-01-03 11:00,1.322,0.072,0,0
2017-01-03 12:00,1.339,0.062,0,0
2017-01-03 13:00,1.624,0.052,0,0
2017-01-03 14:00,2.142,0.075,0,0
2017-01-03 15:00,2.664,0.072,0,0
2017-01-03 16:00,3.232,0.105,0,0
2017-01-03 17:00,3.517,0.102,0,0
2017-01-03 18:00,3.402,0.112,0,0
2017-01-03 19:00,3.025,0.102,0,0
2017-01-03 20:00,2.592,0.105,0,0
2017-01-03 21:00,2.411,0.102,0,0
2017-01-03 22:00,2.149,0.121,0,0
2017-01-03 23:00,1.798,0.089,0,0
2017-01-04 00:00,1.496,0.089,0,0
2017-01-04 01:00,1.631,0.059,0,0
2017-01-04 02:00,2.008,0.056,0,0
2017-01-04 03:00,2.503,0.052,0,0
2017-01-04 04:00,2.986,0.049,0,0
2017-01-04 05:00,3.383,0.066,0,0
2017-01-04 06:00,3.527,0.085,0,0
2017-01-04 07:00,3.143,0.056,0,0
2017-01-04 08:00,2.749,0.056,0,0
2017-01-04 09:00,2.388,0.033,0,0
2017-01-04 10:00,1.916,0.033,0,0
2017-01-04 11:00,1.568,0.023,0,0
2017-01-04 12:00,1.358,0.020,0,0
2017-01-04 13:00,1.309,0.026,0,0
2017-01-04 14:00,1.667,0.036,0,0
2017-01-04 15:00,2.080,0.030,0,0
2017-01-04 16:00,2.359,0.036,0,0
2017-01-04 17:00,2.759,0.049,0,0
2017-01-04 18:00,3.028,0.046,0,0
2017-01-04 19:00,2.871,0.049,0,0
2017-01-04 20:00,2.359,0.085,0,0
2017-01-04 21:00,1.942,0.066,0,0
2017-01-04 22:00,1.650,0.079,0,0
2017-01-04 23:00,1.375,0.069,0,0
2017-01-05 00:00,0.945,0.072,0,0
2017-01-05 01:00,0.673,0.128,0,0
2017-01-05 02:00,0.892,0.180,0,0
2017-01-05 03:00,1.201,0.312,0,0
2017-01-05 04:00,1.594,0.279,0,0
2017-01-05 05:00,1.749,0.351,0,0
2017-01-05 06:00,1.929,0.279,0,0
2017-01-05 07:00,1.991,0.289,0,0
2017-01-05 08:00,1.709,0.233,0,0
2017-01-05 09:00,1.496,0.236,0,0
2017-01-05 10:00,1.178,0.151,0,0
2017-01-05 11:00,0.728,0.220,0,0
2017-01-05 12:00,0.115,0.249,0,0
2017-01-05 13:00,-0.157,0.276,0,0
2017-01-05 14:00,-0.148,0.272,0,0
2017-01-05 15:00,0.194,0.184,0,0
2017-01-05 16:00,0.682,0.233,0,0
2017-01-05 17:00,1.056,0.174,0,0
2017-01-05 18:00,1.293,0.167,0,0
2017-01-05 19:00,1.394,0.095,0,0
2017-01-05 20:00,1.243,0.095,0,0
2017-01-05 21:00,0.919,0.082,0,0
2017-01-05 22:00,0.784,0.121,0,0
2017-01-05 23:00,0.650,0.066,0,0
2017-01-06 00:00,0.262,0.075,0,0
2017-01-06 01:00,-0.144,0.082,0,0
2017-01-06 02:00,-0.157,0.062,0,0
2017-01-06 03:00,0.138,0.052,0,0
2017-01-06 04:00,0.748,0.046,0,0
2017-01-06 05:00,1.296,0.049,0,0
2017-01-06 06:00,1.726,0.049,0,0
2017-01-06 07:00,2.126,0.049,0,0
2017-01-06 08:00,2.067,0.039,0,0
2017-01-06 09:00,1.798,0.082,0,0
2017-01-06 10:00,1.604,0.072,0,0
2017-01-06 11:00,1.332,0.079,0,0
2017-01-06 12:00,0.892,0.059,0,0
2017-01-06 13:00,0.571,0.066,0,0
2017-01-06 14:00,0.404,0.039,0,0
2017-01-06 15:00,0.351,0.033,0,0
2017-01-06 16:00,0.646,0.033,0,0
2017-01-06 17:00,1.122,0.033,0,0
2017-01-06 18:00,1.496,0.023,0,0
2017-01-06 19:00,1.883,0.020,0,0
2017-01-06 20:00,2.034,0.026,0,0
2017-01-06 21:00,1.913,0.030,0,0
2017-01-06 22:00,1.667,0.033,0,0
2017-01-06 23:00,1.237,0.026,0,0
2017-01-07 00:00,1.056,0.026,0,0
2017-01-07 01:00,0.676,0.020,0,0
2017-01-07 02:00,0.249,0.036,0,0
2017-01-07 03:00,0.197,0.036,0,0
2017-01-07 04:00,0.505,0.059,0,0
2017-01-07 05:00,1.168,0.062,0,0
2017-01-07 06:00,1.890,0.069,0,0
2017-01-07 07:00,2.231,0.062,0,0
2017-01-07 08:00,2.516,0.056,0,0
2017-01-07 09:00,2.631,0.056,0,0
2017-01-07 10:00,2.421,0.036,0,0
2017-01-07 11:00,2.080,0.033,0,0
2017-01-07 12:00,1.745,0.033,0,0
2017-01-07 13:00,1.345,0.043,0,0
2017-01-07 14:00,0.961,0.046,0,0
2017-01-07 15:00,0.659,0.043,0,0
2017-01-07 16:00,0.633,0.046,0,0
2017-01-07 17:00,0.866,0.052,0,0
2017-01-07 18:00,1.371,0.069,0,0
2017-01-07 19:00,1.913,0.121,0,0
2017-01-07 20:00,2.329,0.161,0,0
2017-01-07 21:00,2.533,0.167,0,0
2017-01-07 22:00,2.474,0.200,0,0
2017-01-07 23:00,2.165,0.187,0,0
