Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 00:00,1.322,0.059,0,0,0,0,v
2017-01-01 00:06,1.385,0.069,0,0,0,0,v
2017-01-01 00:12,1.463,0.052,0,0,0,0,v
2017-01-01 00:18,1.470,0.069,0,0,0,0,v
2017-01-01 00:24,1.545,0.069,0,0,0,0,v
2017-01-01 00:30,1.565,0.069,0,0,0,0,v
2017-01-01 00:36,1.614,0.075,0,0,0,0,v
2017-01-01 00:42,1.611,0.085,0,0,0,0,v
2017-01-01 00:48,1.722,0.075,0,0,0,0,v
2017-01-01 00:54,1.716,0.092,0,0,0,0,v
2017-01-01 01:00,1.739,0.075,0,0,0,0,v
2017-01-01 01:06,1.814,0.069,0,0,0,0,v
2017-01-01 01:12,1.831,0.085,0,0,0,0,v
2017-01-01 01:18,1.883,0.049,0,0,0,0,v
2017-01-01 01:24,1.923,0.062,0,0,0,0,v
2017-01-01 01:30,1.962,0.056,0,0,0,0,v
2017-01-01 01:36,1.939,0.072,0,0,0,0,v
2017-01-01 01:42,2.011,0.066,0,0,0,0,v
2017-01-01 01:48,2.001,0.059,0,0,0,0,v
2017-01-01 01:54,2.060,0.069,0,0,0,0,v
2017-01-01 02:00,2.096,0.085,0,0,0,0,v
2017-01-01 02:06,2.096,0.089,0,0,0,0,v
2017-01-01 02:12,2.175,0.089,0,0,0,0,v
2017-01-01 02:18,2.208,0.089,0,0,0,0,v
2017-01-01 02:24,2.260,0.072,0,0,0,0,v
2017-01-01 02:30,2.303,0.095,0,0,0,0,v
2017-01-01 02:36,2.339,0.069,0,0,0,0,v
2017-01-01 02:42,2.323,0.075,0,0,0,0,v
2017-01-01 02:48,2.431,0.075,0,0,0,0,v
2017-01-01 02:54,2.464,0.072,0,0,0,0,v
2017-01-01 03:00,2.477,0.079,0,0,0,0,v
2017-01-01 03:06,2.516,0.079,0,0,0,0,v
2017-01-01 03:12,2.490,0.075,0,0,0,0,v
2017-01-01 03:18,2.513,0.079,0,0,0,0,v
2017-01-01 03:24,2.562,0.075,0,0,0,0,v
2017-01-01 03:30,2.477,0.079,0,0,0,0,v
2017-01-01 03:36,2.490,0.075,0,0,0,0,v
2017-01-01 03:42,2.516,0.082,0,0,0,0,v
2017-01-01 03:48,2.490,0.072,0,0,0,0,v
2017-01-01 03:54,2.490,0.072,0,0,0,0,v
2017-01-01 04:00,2.392,0.082,0,0,0,0,v
2017-01-01 04:06,2.402,0.082,0,0,0,0,v
2017-01-01 04:12,2.408,0.085,0,0,0,0,v
2017-01-01 04:18,2.333,0.102,0,0,0,0,v
2017-01-01 04:24,2.306,0.092,0,0,0,0,v
2017-01-01 04:30,2.224,0.075,0,0,0,0,v
2017-01-01 04:36,2.149,0.102,0,0,0,0,v
2017-01-01 04:42,2.060,0.082,0,0,0,0,v
2017-01-01 04:48,2.034,0.118,0,0,0,0,v
2017-01-01 04:54,1.942,0.105,0,0,0,0,v
2017-01-01 05:00,2.005,0.105,0,0,0,0,v
2017-01-01 05:06,1.906,0.118,0,0,0,0,v
2017-01-01 05:12,1.827,0.128,0,0,0,0,v
2017-01-01 05:18,1.814,0.115,0,0,0,0,v
2017-01-01 05:24,1.775,0.138,0,0,0,0,v
2017-01-01 05:30,1.772,0.118,0,0,0,0,v
2017-01-01 05:36,1.663,0.121,0,0,0,0,v
2017-01-01 05:42,1.568,0.131,0,0,0,0,v
2017-01-01 05:48,1.617,0.157,0,0,0,0,v
2017-01-01 05:54,1.594,0.161,0,0,0,0,v
2017-01-01 06:00,1.503,0.121,0,0,0,0,v
2017-01-01 06:06,1.463,0.121,0,0,0,0,v
2017-01-01 06:12,1.368,0.131,0,0,0,0,v
2017-01-01 06:18,1.427,0.118,0,0,0,0,v
2017-01-01 06:24,1.470,0.128,0,0,0,0,v
2017-01-01 06:30,1.427,0.135,0,0,0,0,v
2017-01-01 06:36,1.371,0.154,0,0,0,0,v
2017-01-01 06:42,1.312,0.105,0,0,0,0,v
2017-01-01 06:48,1.276,0.105,0,0,0,0,v
2017-01-01 06:54,1.283,0.112,0,0,0,0,v
2017-01-01 07:00,1.178,0.092,0,0,0,0,v
2017-01-01 07:06,1.132,0.105,0,0,0,0,v
2017-01-01 07:12,1.060,0.085,0,0,0,0,v
2017-01-01 07:18,1.053,0.112,0,0,0,0,v
2017-01-01 07:24,0.928,0.108,0,0,0,0,v
2017-01-01 07:30,0.932,0.105,0,0,0,0,v
2017-01-01 07:36,0.843,0.118,0,0,0,0,v
2017-01-01 07:42,0.741,0.079,0,0,0,0,v
2017-01-01 07:48,0.751,0.079,0,0,0,0,v
2017-01-01 07:54,0.715,0.092,0,0,0,0,v
2017-01-01 08:00,0.620,0.102,0,0,0,0,v
2017-01-01 08:06,0.554,0.098,0,0,0,0,v
2017-01-01 08:12,0.535,0.105,0,0,0,0,v
2017-01-01 08:18,0.427,0.098,0,0,0,0,v
2017-01-01 08:24,0.413,0.089,0,0,0,0,v
2017-01-01 08:30,0.390,0.115,0,0,0,0,v
2017-01-01 08:36,0.243,0.112,0,0,0,0,v
2017-01-01 08:42,0.230,0.138,0,0,0,0,v
2017-01-01 08:48,0.194,0.131,0,0,0,0,v
2017-01-01 08:54,0.171,0.125,0,0,0,0,v
2017-01-01 09:00,0.102,0.144,0,0,0,0,v
2017-01-01 09:06,0.092,0.131,0,0,0,0,v
2017-01-01 09:12,0.059,0.144,0,0,0,0,v
2017-01-01 09:18,0.079,0.108,0,0,0,0,v
2017-01-01 09:24,0.085,0.141,0,0,0,0,v
2017-01-01 09:30,0.092,0.128,0,0,0,0,v
2017-01-01 09:36,0.095,0.121,0,0,0,0,v
2017-01-01 09:42,0.121,0.085,0,0,0,0,v
2017-01-01 09:48,0.138,0.118,0,0,0,0,v
2017-01-01 09:54,0.138,0.082,0,0,0,0,v
2017-01-01 10:00,0.177,0.112,0,0,0,0,v
2017-01-01 10:06,0.217,0.082,0,0,0,0,v
2017-01-01 10:12,0.141,0.112,0,0,0,0,v
2017-01-01 10:18,0.207,0.098,0,0,0,0,v
2017-01-01 10:24,0.223,0.095,0,0,0,0,v
2017-01-01 10:30,0.256,0.079,0,0,0,0,v
2017-01-01 10:36,0.358,0.095,0,0,0,0,v
2017-01-01 10:42,0.400,0.085,0,0,0,0,v
2017-01-01 10:48,0.384,0.082,0,0,0,0,v
2017-01-01 10:54,0.472,0.105,0,0,0,0,v
2017-01-01 11:00,0.568,0.082,0,0,0,0,v
2017-01-01 11:06,0.627,0.082,0,0,0,0,v
2017-01-01 11:12,0.636,0.072,0,0,0,0,v
2017-01-01 11:18,0.751,0.059,0,0,0,0,v
2017-01-01 11:24,0.650,0.079,0,0,0,0,v
2017-01-01 11:30,0.755,0.072,0,0,0,0,v
2017-01-01 11:36,0.804,0.079,0,0,0,0,v
2017-01-01 11:42,0.833,0.052,0,0,0,0,v
2017-01-01 11:48,0.794,0.072,0,0,0,0,v
2017-01-01 11:54,0.892,0.069,0,0,0,0,v
2017-01-01 12:00,0.906,0.069,0,0,0,0,v
2017-01-01 12:06,0.948,0.056,0,0,0,0,v
2017-01-01 12:12,0.997,0.059,0,0,0,0,v
2017-01-01 12:18,1.030,0.066,0,0,0,0,v
2017-01-01 12:24,1.050,0.059,0,0,0,0,v
2017-01-01 12:30,1.148,0.062,0,0,0,0,v
2017-01-01 12:36,1.158,0.069,0,0,0,0,v
2017-01-01 12:42,1.207,0.059,0,0,0,0,v
2017-01-01 12:48,1.227,0.069,0,0,0,0,v
2017-01-01 12:54,1.273,0.066,0,0,0,0,v
2017-01-01 13:00,1.385,0.066,0,0,0,0,v
2017-01-01 13:06,1.430,0.059,0,0,0,0,v
2017-01-01 13:12,1.430,0.062,0,0,0,0,v
2017-01-01 13:18,1.506,0.062,0,0,0,0,v
2017-01-01 13:24,1.499,0.066,0,0,0,0,v
2017-01-01 13:30,1.565,0.056,0,0,0,0,v
2017-01-01 13:36,1.578,0.052,0,0,0,0,v
2017-01-01 13:42,1.640,0.056,0,0,0,0,v
2017-01-01 13:48,1.650,0.049,0,0,0,0,v
2017-01-01 13:54,1.693,0.059,0,0,0,0,v
2017-01-01 14:00,1.785,0.052,0,0,0,0,v
2017-01-01 14:06,1.821,0.052,0,0,0,0,v
2017-01-01 14:12,1.798,0.056,0,0,0,0,v
2017-01-01 14:18,1.946,0.056,0,0,0,0,v
2017-01-01 14:24,1.952,0.062,0,0,0,0,v
2017-01-01 14:30,1.985,0.062,0,0,0,0,v
2017-01-01 14:36,2.028,0.075,0,0,0,0,v
2017-01-01 14:42,2.047,0.082,0,0,0,0,v
2017-01-01 14:48,2.024,0.079,0,0,0,0,v
2017-01-01 14:54,2.103,0.082,0,0,0,0,v
2017-01-01 15:00,2.110,0.128,0,0,0,0,v
2017-01-01 15:06,2.142,0.098,0,0,0,0,v
2017-01-01 15:12,2.205,0.085,0,0,0,0,v
2017-01-01 15:18,2.218,0.115,0,0,0,0,v
2017-01-01 15:24,2.205,0.092,0,0,0,0,v
2017-01-01 15:30,2.211,0.125,0,0,0,0,v
2017-01-01 15:36,2.215,0.105,0,0,0,0,v
2017-01-01 15:42,2.224,0.112,0,0,0,0,v
2017-01-01 15:48,2.218,0.161,0,0,0,0,v
2017-01-01 15:54,2.149,0.121,0,0,0,0,v
2017-01-01 16:00,2.162,0.151,0,0,0,0,v
2017-01-01 16:06,2.156,0.167,0,0,0,0,v
2017-01-01 16:12,2.070,0.151,0,0,0,0,v
2017-01-01 16:18,2.047,0.190,0,0,0,0,v
2017-01-01 16:24,1.965,0.138,0,0,0,0,v
2017-01-01 16:30,2.031,0.112,0,0,0,0,v
2017-01-01 16:36,1.962,0.135,0,0,0,0,v
2017-01-01 16:42,1.854,0.118,0,0,0,0,v
2017-01-01 16:48,1.821,0.151,0,0,0,0,v
2017-01-01 16:54,1.827,0.151,0,0,0,0,v
2017-01-01 17:00,1.850,0.138,0,0,0,0,v
2017-01-01 17:06,1.759,0.121,0,0,0,0,v
2017-01-01 17:12,1.677,0.098,0,0,0,0,v
2017-01-01 17:18,1.654,0.115,0,0,0,0,v
2017-01-01 17:24,1.686,0.102,0,0,0,0,v
2017-01-01 17:30,1.585,0.115,0,0,0,0,v
2017-01-01 17:36,1.512,0.125,0,0,0,0,v
2017-01-01 17:42,1.453,0.128,0,0,0,0,v
2017-01-01 17:48,1.463,0.135,0,0,0,0,v
2017-01-01 17:54,1.434,0.115,0,0,0,0,v
2017-01-01 18:00,1.391,0.128,0,0,0,0,v
2017-01-01 18:06,1.280,0.089,0,0,0,0,v
2017-01-01 18:12,1.237,0.102,0,0,0,0,v
2017-01-01 18:18,1.243,0.115,0,0,0,0,v
2017-01-01 18:24,1.207,0.121,0,0,0,0,v
2017-01-01 18:30,1.155,0.121,0,0,0,0,v
2017-01-01 18:36,1.076,0.118,0,0,0,0,v
2017-01-01 18:42,1.099,0.105,0,0,0,0,v
2017-01-01 18:48,1.050,0.095,0,0,0,0,v
2017-01-01 18:54,1.001,0.082,0,0,0,0,v
2017-01-01 19:00,0.984,0.098,0,0,0,0,v
2017-01-01 19:06,0.886,0.095,0,0,0,0,v
2017-01-01 19:12,0.866,0.102,0,0,0,0,v
2017-01-01 19:18,0.846,0.098,0,0,0,0,v
2017-01-01 19:24,0.794,0.092,0,0,0,0,v
2017-01-01 19:30,0.768,0.069,0,0,0,0,v
2017-01-01 19:36,0.719,0.046,0,0,0,0,v
2017-01-01 19:42,0.646,0.079,0,0,0,0,v
2017-01-01 19:48,0.643,0.062,0,0,0,0,v
2017-01-01 19:54,0.614,0.056,0,0,0,0,v
2017-01-01 20:00,0.535,0.052,0,0,0,0,v
2017-01-01 20:06,0.495,0.056,0,0,0,0,v
2017-01-01 20:12,0.453,0.062,0,0,0,0,v
2017-01-01 20:18,0.420,0.056,0,0,0,0,v
2017-01-01 20:24,0.344,0.036,0,0,0,0,v
2017-01-01 20:30,0.285,0.059,0,0,0,0,v
2017-01-01 20:36,0.243,0.052,0,0,0,0,v
2017-01-01 20:42,0.223,0.039,0,0,0,0,v
2017-01-01 20:48,0.177,0.072,0,0,0,0,v
2017-01-01 20:54,0.128,0.062,0,0,0,0,v
2017-01-01 21:00,0.082,0.062,0,0,0,0,v
2017-01-01 21:06,0.026,0.075,0,0,0,0,v
2017-01-01 21:12,0.013,0.072,0,0,0,0,v
2017-01-01 21:18,-0.066,0.069,0,0,0,0,v
2017-01-01 21:24,-0.052,0.069,0,0,0,0,v
2017-01-01 21:30,-0.121,0.072,0,0,0,0,v
2017-01-01 21:36,-0.141,0.066,0,0,0,0,v
2017-01-01 21:42,-0.154,0.049,0,0,0,0,v
2017-01-01 21:48,-0.203,0.066,0,0,0,0,v
2017-01-01 21:54,-0.197,0.049,0,0,0,0,v
2017-01-01 22:00,-0.213,0.039,0,0,0,0,v
2017-01-01 22:06,-0.197,0.052,0,0,0,0,v
2017-01-01 22:12,-0.269,0.066,0,0,0,0,v
